ProductDescription,Prices
" Lenovo Slim 5 14ALC05 82LM002UPH Ryzen 7 5700U
AMD Ryzen 7 5700U (8C / 16T, 1.8 / 4.3GHz, 4MB L2 / 8MB L3), 16GB Soldered DDR4-3200, 512GB SSD M.2 NVMe, 14 inches FHD (1920x1080), Integrated AMD Radeon Graphics, Windows 10 Home Pay only P 7,999 a Month for 6 months or
P 4,279 a Month for 12 months on major credit cards. Free: Microsoft Office 2019 Home and Student (Pre-Installed)
"," ₱ 47,995

"
" Acer Swift 3 SF314-512-50XM Intel Core i5 12th Gen
Acer Swift 3 Intel Core i5-1240P processor (12 MB Smart Cache, 1.7 GHz Performance-core with Intel Turbo Boost Technology 2.0 up to 4.4 GHz) ,8GB of onboard LPDDR4X 512GB NVMe SSD,Intel Iris Xe Graphics,Windows 11 Home 
                        	Pay only P 4,519 a Month for 12 months or
P 8,559 a Month for 6 months on major credit cards.
						
"," ₱ 47,995

"
" Acer Swift 3 SF313-52-52QP Intel Core i5 10th Gen
Intel Core i5-1035G4 Processor 1.10 GHz 6M Cache, up to 3.70 GHz/, 16GB LPDDR4, 512GB NVMe SSD On-board SSD, 13.5 inches IPS LCD 2256 x 1504, Intel Iris Plus Graphics, Windows 10 
                        	Pay only P 4,519 a Month for 12 months or
P 8,559 a Month for 6 months on major credit cards.
						
"," ₱ 47,999

"
" Acer Aspire 5 A514-54G-70XQ Intel Core i7 11th Gen
Intel Core i7-1165G7 Processor 12M Cache, up to 4.70 GHz, 4GB DDR4, 1TB HDD + 256GB NVMe SSD, 14 inches Full HD In-plane Switching (IPS) Technology, 2GB NVIDIA GeForce MX350, Windows 10 
                        	Pay only P 4,519 a Month for 12 months or
P 8,559 a Month for 6 months on major credit cards.
						
"," ₱ 47,999

"
" HP Pavilion 14-DV2021TX Intel Core i5 12th Gen
Intel Core i5-1235U (up to 4.4 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads), 8GB DDR4-3200 SDRAM (2 x 4 GB), 512GB PCIe NVMe M.2 SSD, 14 inches FHD (1920 x 1080), NVIDIA GeForce MX550, Windows11 
                        	Pay only P 4,707 a Month for 12 months or
P 8,914 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home & Student 2021 (Pre-installed)
"," ₱ 49,990

"
" Lenovo SLIM 5i 14ITL05 82FE0045PH Intel Core i5 11th Gen
Intel Core I5-1135G7, 16GB DDR4, 512GB M.2 SSD,14 INCHES (1920 x 1080), NVIDIA MX350 2GB, WINDOWS 10 HOME 
                        	Pay only P 4,707 a Month for 12 months or
P 8,914 a Month for 6 months on major credit cards.
						
"," ₱ 49,990

"
" HP Pavilion 14-DV0503TX Intel Core i5 11th Gen
Intel Core i5-1135G7 (up to 4.2 GHz with Intel Turbo Boost Technology), 8GB DDR4-3200, 512GB PCIe NVMe M.2 SSD, 14 inches diagonal, FHD (1920 x 1080), NVIDIA GeForce MX450 2GB GDDR5, Windows11, Office 2019 Home & Student 
                        	Pay only P 4,707 a Month for 12 months or
P 8,914 a Month for 6 months on major credit cards.
						
"," ₱ 49,990

"
" HP Pavilion 14-DV1020TU Intel Core i5 11th Gen
Intel Core i5-1155G7 (up to 4.5 GHz with Intel® Turbo Boost Technology, 8 MB L3 cache, 4 cores, 8 threads), 8GB DDR4-3200 MHz RAM (2 x 4 GB), 512 GB PCIe NVMe M.2 SSD, 35.6 cm (14 inches) diagonal, FHD (1920 x 1080), IPS, micro-edge, anti-glare, Intel Iris Xe Graphics, Windows 11, MS Office 2019 Home & Student 
                        	Pay only P 4,707 a Month for 12 months or
P 8,914 a Month for 6 months on major credit cards.
						
"," ₱ 49,990

"
" Asus X415EP-EK028TS Intel Core i7 11th Gen
Intel Core i7-1165G7 Processor 2.8 GHz (12M Cache, up to 4.7 GHz, 4 cores), 4GB DDR4 onboard, 4GB DDR4, 1TB SATA HDD + 256GB M.2 NVMe PCIe 3.0 SSD, 14.0-inch, FHD (1920 x 1080) 16:9, Anti-glare display, NVIDIA GeForce MX330, 2GB GDDR5, Windows 10 
                        	Pay only P 4,707 a Month for 12 months or
P 8,915 a Month for 6 months on major credit cards.
						
"," ₱ 49,995

"
" Asus VivoBook Flip 14 TP470EA-EC004TS Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores), 8GB RAM DDR4, 512GB M.2 NVMe PCIe 3.0 SSD , 14 inches Full HD 1920x1080 IPS Touch Display with Stylus Pen, Intel Iris Xe Graphics, Windows 10 + MS Home & Student 2019 
                        	Pay only P 4,707 a Month for 12 months or
P 8,915 a Month for 6 months on major credit cards.
						
"," ₱ 49,995

"
" MSI MODERN 14 B11MO-051PH Intel Core i5 11th Gen
Intel Core i5 1135G7 Processor, 14"" FHD Display, 8GB DDR4, Intel Iris Xe Graphics, 512GB SSD, Windows 10 
                        	Pay only P 4,707 a Month for 12 months or
P 8,915 a Month for 6 months on major credit cards.
						
"," ₱ 49,995

"
" Asus VivoBook S14 S433EA -AM342TS Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor, (8M Cache, 2.40 GHz up to 4.20 GHz), 16GB DDR4 3200MHz, 512GB PCIe SSD, 14 inches FHD 1920x1080 NanoEdge Display, Intel Iris Xe Graphics, Windows 10 
                        	Pay only P 4,707 a Month for 12 months or
P 8,915 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home and Student 2019 (Pre-Installed)
"," ₱ 49,995

"
" Asus X415JP-EK214T Intel Core i7 10th Gen
Intel Core i7-1065G7, 4GB+4GB DDR4 Memory, 256G PCIE SSD + 1TB HDD, 14 inches FHD Display, NVIDIA GeForce MX330 2GB GDDR5, Windows 10 
                        	Pay only P 4,707 a Month for 12 months or
P 8,915 a Month for 6 months on major credit cards.
						
"," ₱ 49,995

"
" Asus X415EP-EK029TS Intel Core i7 11th Gen
Processor: Intel Core i7-1165G7 Processor, 8GB (4GB + 4GB), 1TB HDD + 256GB SSD, 14 inches FHD, Nvidia MX330 2GB VRAM, Win10 Pay only P 8,332 a Month for 6 months or
P 4,457 a Month for 12 months on major credit cards.
"," ₱ 49,995

"
" Lenovo IdeaPad 15ITL6 82H800QLPH Intel Core i5 11th Gen
Intel Core i5-1135G7 (4C / 8T, 2.4 / 4.2GHz, 8MB), 4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200, 256GB SSD M.2 + 1TB HDD, 15.6"" FHD (1920x1080), NVIDIA GeForce MX350 2GB, Windows 10, Office 2019 Home & Student (pre installed) Pay only P 8,332 a Month for 6 months or
P 4,457 a Month for 12 months on major credit cards. Promo: P47,995 for Online and cash buyers only!
"," ₱ 49,995

"
" Lenovo Ideapad Slim 5i 15ITL05 82FG00LGPH Intel Core i5 11th Gen
Intel Core i5-1135G7 (4C / 8T, 2.4 / 4.2GHz, 8MB), 16GB Soldered DDR4-3200, 512GB SSD M.2 2242 PCIe 3.0x2 NVMe, 15.6 inches FHD (1920x1080), Integrated Intel Iris Xe Graphics, Windows 10 
                        	Pay only P 4,707 a Month for 12 months or
P 8,915 a Month for 6 months on major credit cards.
						
"," ₱ 49,995

"
" Asus VivoBook 15 OLED K513EA-L12004TS Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores
, 8GB DDR4 on board, Memory Max Up to:16GB, 512GB M.2 NVMe PCIe 3.0 SSD, 15.6 inches FHD OLED (1920 x 1080), Intel Iris Xe Graphics, Win10, Microsoft Office 2019 Home and Student (Pre-Installed) 
                        	Pay only P 4,707 a Month for 12 months or
P 8,915 a Month for 6 months on major credit cards.
						 NOW! P44,999 Promo. Valid until June 30, 2022
"," ₱ 49,995

"
" Acer Aspire 5 A515-56-70BX Intel Core i7 11th Gen
Intel Core i7-1165G7 processor (12 MB Smart Cache, 2.8 GHz with Turbo Boost up to 4.7 GHz), 8GB onboard DDR4 Memory, 512GB NVMe SSD (HDD Upgrade kit ready),15.6 inches Full HD 1920 x 1080, Intel Iris Xe Graphics, Windows 10 Home 
                        	Pay only P 4,708 a Month for 12 months or
P 8,916 a Month for 6 months on major credit cards.
						 Microsoft Office 2019 Home and Student (Pre-Installed)
"," ₱ 49,999

"
" Acer Spin 5 SP513-54N-53X8 Intel Core i5 10th Gen
Intel Core i5-1035G4 Processor 1.10 GHz 6M Cache, up to 3.70 GHz, 8GB LPDDR4 SDRAM, 512GB NVME (M.2 slot), 13.5 inches VertiView display w/ IPS technology 2K resolution, Intel Iris Plus Graphics, Windows 10 
                        	Pay only P 4,708 a Month for 12 months or
P 8,916 a Month for 6 months on major credit cards.
						
"," ₱ 49,999

"
" Lenovo IdeaPad Slim 3i 14ITL6 82H70127PH Intel Core i7 11th Gen
Intel Core i7-1165G7 (4C / 8T, 2.8 / 4.7GHz, 12MB), 8GB Soldered DDR4-3200, 512GB SSD M.2 2280 PCIe 3.0x4 NVMe, 14.0 inches FHD Display (1920x1080), NVIDIA GeForce MX350 2GB GDDR5, Windows 11 
                        	Pay only P 4,802 a Month for 12 months or
P 9,094 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home & Student 2021 (Pre-installed)
"," ₱ 50,995

"
" Huawei Matebook D14 AMD Ryzen 5 4600H
Ryzen 5 4600H, 512GB SSD, 8GB PDDR4, 14-inch Fullview IPS Display (2160x1440), AMD Radeon Vega 8, Windows 10 
                        	Pay only P 4,802 a Month for 12 months or
P 9,094 a Month for 6 months on major credit cards.
						
"," ₱ 50,999

"
" Asus Zenbook 13 OLED UM325UA-KG138WS AMD Ryzen 7 5700U
AMD Ryzen 7 5700U Mobile Processor (8-core/16-thread, 12MB cache, up to 4.3 GHz max boost), 8GB LPDDR4X on board, 512GB M.2 NVMe PCIe 3.0 SSD, 13.3 inches FHD OLED Display, AMD Radeon Graphics, Windows 11 
                        	Pay only P 4,896 a Month for 12 months or
P 9,272 a Month for 6 months on major credit cards.
						 Get a FREE MS Office 2019 Home & Student Software for Online Cash Buyers.
"," ₱ 51,995

"
" Asus ZenBook 13 OLED UM325UA-KG096TS AMD Ryzen 7 5700U
AMD Ryzen 7 5700U, 8GB DDR4, 512GB SSD, 13.3 inches FHD OLED Display, AMD Radeon Graphics, Win10 
                        	Pay only P 4,896 a Month for 12 months or
P 9,272 a Month for 6 months on major credit cards.
						
"," ₱ 51,995

"
" HP Pavilion x360 14-DY1027TU Intel Core i5 11th Gen
Intel Core i5-1155G7 (up to 4.5 GHz with Intel Turbo Boost Technology, 8 MB L3 cache, 4 cores, 8 threads), 8GB DDR4-3200, 512GB PCIe NVMe M.2 SSD, 14 inches diagonal FHD (1920 x 1080), multitouch-enabled, Intel Iris Xe Graphics, with pen, Windows 11 
                        	Pay only P 4,989 a Month for 12 months or
P 9,449 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home and Student 2021 (Pre-Installed)
"," ₱ 52,990

"
" HP Pavilion 14-DV2022TX Intel Core i5 12th Gen
Intel Core i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology(2g), 12 MB L3 cache, 10 cores, 12 threads)/8GB DDR4-3200 SDRAM (2 x 4 GB)/512GB PCIe NVMe M.2 SSD/14-inch diagonal, FHD (1920 x 1080), IPS, micro-edge,250 nits, 45% NTSC/NVIDIA® GeForce® MX550 (2 GB GDDR6 dedicated),windows 11
Free Microsoft Office Home and Student (Pre-Installed) 
                        	Pay only P 4,989 a Month for 12 months or
P 9,449 a Month for 6 months on major credit cards.
						
"," ₱ 52,990

"
" HP Pavilion 15-EH1121AU AMD Ryzen 5 5500U
AMD Ryzen 5 5500U (up to 4.0 GHz max boost clock, 8 MB L3 cache, 6 cores, 12 threads), 16GB DDR4 (2x8GB), 1TB PCIe NVMe M.2 SSD, 15.6 inches diagonal, FHD (1920 x 1080),  AMD Radeon Graphics, Windows 11 
                        	Pay only P 4,989 a Month for 12 months or
P 9,449 a Month for 6 months on major credit cards.
						
"," ₱ 52,990

"
" Lenovo IdeaPad Slim 5 PRO 14ACN6 82L700L4PH AMD Ryzen 5 5600U
AMD Ryzen 5 5600U (6C / 12T, 2.3 / 4.2GHz, 3MB L2 / 16MB L3), 16GB Soldered DDR4-3200, 512GB SSD M.2 2242 PCIe 3.0x4 NVMe, 14"" 2.8K (2880x1800) IPS, Integrated AMD Radeon Graphics, Windows 11 
                        	Pay only P 4,990 a Month for 12 months or
P 9,450 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home and Student 2021 (Pre-Installed)
"," ₱ 52,995

"
" Lenovo IdeaPad 5 PRO 14ACN6 82L7003LPH Intel Core i5 11th Gen
AMD Ryzen 5 5600U (6C / 12T, 2.3 / 4.2GHz, 3MB L2 / 16MB L3), 16GB DDR4-3200, 512GB SSD,  14 inches 2.2K (2240x1400), NVIDIA GeForce MX450 2GB GDDR6, Windows 10 
                        	Pay only P 4,990 a Month for 12 months or
P 9,450 a Month for 6 months on major credit cards.
						
"," ₱ 52,995

"
" Dell Inspiron 13 5301 Intel Core i5 11th Gen
Intel® Core i5-1135G7 Processor (8MB Cache, up to 4.2 GHz), 13.3 inches FHD Display, 8GB onboard LPDDR4x, 512GB M.2 PCIe NVMe SSD, NVIDIA GeForce MX350 2GB GDDR5, Windows 10 
                        	Pay only P 5,084 a Month for 12 months or
P 9,628 a Month for 6 months on major credit cards.
						
"," ₱ 53,990

"
" Lenovo IdeaPad Slim 3i 15ITL6 82H801UYPH Intel Core i5 11th Gen
Intel Core i5-1135G7 (4C / 8T, 2.4 / 4.2GHz, 8MB), 8GB DDR4 (4GB Soldered DDR4-3200 + 4GB SO-DIMM DDR4-3200), 1TB SSD M.2 2280 PCIe 3.0x4 NVMe, 15.6 inches FHD (1920x1080), NVIDIA GeForce MX350 2GB GDDR5, Windows 11 
                        	Pay only P 5,084 a Month for 12 months or
P 9,629 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home and Student 2021 (Pre-Installed)
"," ₱ 53,995

"
" Asus X415EP-EB155TS Intel i7 11th Gen
Intel Core i7-1165G7 Processor 2.8 GHz (12M Cache, up to 4.7 GHz, 4 cores), 8GB RAM 4GB DDR4 on board + 4GB DDR4 SO-DIMM, 1TB SATA 5400RPM + 256GB M.2 NVMe PCIe 3.0 SSD, 14 inch Dsiplay FHD (1920 x 1080), GeForce MX330 2GB, Windows10, Microsoft Office 2019 Home and Student (Pre-Installed) 
                        	Pay only P 5,084 a Month for 12 months or
P 9,629 a Month for 6 months on major credit cards.
						 NOW! P51,995 Promo. Valid until June 30, 2022
"," ₱ 53,995

"
" HP Pavilion X360 14-EK0038TU Intel Core i5 12th Gen
Intel Core i5-1235U (up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads), 8GB DDR4-3200, 512GB PCIe NVMe M.2 SSD, 14.0 inches FHD (1920 x 1080) multitouch-enabled, Intel Iris Xe Graphics, Windows 11 
                        	Pay only P 5,178 a Month for 12 months or
P 9,806 a Month for 6 months on major credit cards.
						 Take P6,500 OFF!!! Exclusive offer for Online Cash Buyers and Cash Buyers at Asianic (SM San Lazaro, SM Megamall, SM Manila, SM Masinag & SM Taytay) Valid until Sep 19, 2022.
"," ₱ 54,990


"
" Acer Aspire 6 A615-51G-59EA Captain America Edition 15.6-inch FHD Intel Core i5 8th Gen
Intel Core i5-8250U 1.60 GHz Processor (6M Cache, up to 3.40 GHz), 4GB of onboard DDR4 system memory, 1TB HDD 5400 RPM, 15.6"" display with IPS (In-Plane Switching) technology, Full HD 1920 x 1080, NVIDIA GeForce MX150 with 2 GB of dedicated GDDR5 VRAM, Windows 10 Home 
                        	Pay only P 5,178 a Month for 12 months or
P 9,806 a Month for 6 months on major credit cards.
						
"," ₱ 54,990

"
" Asus ZenBook 13 UX325EA-EG056TS Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor, 8GB LPDDR4X Memory, 512GB PCIe NVMe M.2 SSD, 13.3 inches FHD 1920x1080 NanoEdge Display, Intel IRIS X Graphics, Windows 10 
                        	Pay only P 5,178 a Month for 12 months or
P 9,807 a Month for 6 months on major credit cards.
						
"," ₱ 54,995

"
" Asus ZenBook 13 OLED UX325EA-KG271TS Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor (8M Cache, up to 4.20 GHz), 16GB RAM DDR4, 512GB SSD, 13.3 inches FHD OLED display, Intel Iris Xe Graphics, with NumPad, Windows 10 
                        	Pay only P 5,178 a Month for 12 months or
P 9,807 a Month for 6 months on major credit cards.
						
"," ₱ 54,995

"
" Asus VivoBook PRO 14 OLED M3401QA-KM118WS AMD Ryzen 7 5800H
AMD Ryzen 7 5800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.4 GHz max boost), 8GB DDR4 on board, 1TB M.2 NVMe PCIe 3.0 SSD, 14 inches 2.8K (2880 x 1800) OLED Display, AMD Radeon Graphics, Windows 11 
                        	Pay only P 5,178 a Month for 12 months or
P 9,807 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home and Student 2021 (Pre-Installed)
"," ₱ 54,995

"
" Asus VivoBook PRO 14 OLED M3401QA-KM119WS AMD Ryzen 7 5800H
AMD Ryzen 7 5800H Mobile Processor (8-core/16-thread, 20MB cache, up to 4.4 GHz max boost), 8GB DDR4 on board, 1TB M.2 NVMe PCIe 3.0 SSD, 14 inches 2.8K (2880 x 1800) OLED Display, AMD Radeon Graphics, Windows 11 
                        	Pay only P 5,178 a Month for 12 months or
P 9,807 a Month for 6 months on major credit cards.
						 Free: Microsoft Office Home and Student 2021 (Pre-Installed)
"," ₱ 54,995

"
" Asus Zenbook 13 UX325EA-EG022TS Intel Core i5 11th Gen
Intel Core i5-1135G7 Processor, 8GB LPDDR4X, 512GB PCIe NVMe M.2 SSD, 13.3 inches FHD 1920x1080 NanoEdge Display, Intel IRIS X Graphics, Windows 10, Pre-Installed Microsoft Office Home & Student 2019 
                        	Pay only P 5,178 a Month for 12 months or
P 9,807 a Month for 6 months on major credit cards.
						
"," ₱ 54,995

"
" Lenovo IdeaPad 3 14ITL6 82H70047PH Intel Core i7 11th Gen
Intel Core i7-1165G7 Processor, 4G OB+4G DDR4, 512GB SSD M.2, 14 inches FHD (1920x1080), Intel IRIS Xe Graphics, Windows 10 Home Pay only P 9,166 a Month for 6 months or
P 4,904 a Month for 12 months on major credit cards. Free: Microsoft Office 2019 Home and Student (Pre-Installed)
"," ₱ 54,999

"
" Acer TMP215-53G-56EF INTEL CORE i5 11th Gen
Intel Core i5-1135G7 Processor, 4Cores 8Threads, 8M Cache, 2.4GHz up to 4.20 GHz, with IPU, 16GB (1 x 16GB) Dual-channel DDR4, 512GB PCIe NVMe SSD, 15.6 inches display Full HD 1920 x 1080, NVIDIA GeForce MX330 2GB, Windows 10 Pay only P 18,333 a Month for 3 months on major credit cards.
"," ₱ 54,999

"
" HP ENVY Notebook x360 13-AY0119AU AMD Ryzen 3 4300U
AMD Ryzen 3 4300U, 8 GB DDR4, 512 GB PCIe NVMe TLC M.2 SSD, 13.3 inches FHD, AMD Radeon Graphics, Windows 10 Pay only P 9,331 a Month for 6 months or
P 4,992 a Month for 12 months on major credit cards.
"," ₱ 55,990

"
" MSI MODERN 14 B11MO-050PH Intel Core i7 11th Gen
Intel Core i7-1165G7, 8GB DDR4, 512GB NVMe PCIe Gen4 SSD, 14.0 inches FHD, Intel Iris Xe graphics IPS-Level, Windows 10 
                        	Pay only P 5,272 a Month for 12 months or
P 9,985 a Month for 6 months on major credit cards.
						
"," ₱ 55,995

"
" MSI GF63 THIN 10SCSR-896PH Intel Core i5 10th Gen
Intel Core i5-10300H, 15.6 inches FHD 144Hz, IPS Panel, Thin Bezel, Anti-Glare, GTX 1650Ti 4GB GDDR6, 8GB DDR4, 256GB Pcie SSD + 1Tb HDD, Win10 
                        	Pay only P 5,272 a Month for 12 months or
P 9,985 a Month for 6 months on major credit cards.
						
"," ₱ 55,995

"
" Asus VivoBook Pro 15 OLED K3500PH-L1223WS Intel Core i5 11th Gen
Intel Core i5-11300H Processor 3.1 GHz (8M Cache, up to 4.4 GHz, 4 cores), 8GB DDR4 on board, 512GB M.2 NVMe PCIe 3.0 SSD, 15.6-inch, FHD (1920 x 1080) 16:9 aspect ratio, 400nits, 100% DCI-P3 color gamut, PANTONE Validated, Glossy display, Screen-to-body ratio: 84, NVIDIA GTX 1650 Max-Q technology 4GB GDDR6, Windows 11 
                        	Pay only P 5,272 a Month for 12 months or
P 9,985 a Month for 6 months on major credit cards.
						
"," ₱ 55,995

"
" Asus Vivobook 15 X571LI-AL210TS Intel Core i5 10th Gen
Intel Core i5 10300H Processor, 8GB DDR4 Memory, 1TB HDD + 256GB PCIe SSD, 15.6 inches FHD 1920X1080 LED Display, NVIDIA GTX1650Ti 4GB GDDR6 VRAM, Windows 10 , Pre-Installed Microsoft Office Home & Student 2019 
                        	Pay only P 5,272 a Month for 12 months or
P 9,985 a Month for 6 months on major credit cards.
						
"," ₱ 55,995

"
" HP Victus 15- FB0035AX Amd Ryzen-5 -5600H
Amd Ryzen-5 5600h,8gb ddr4 3200hz,512gb ssd pcie 3x4,Nvidia GeForce RTX 3050 4gb, 15,6 FHD Anti Glare Ultra Slim ips 250nits 144hz Narrow Border,W11 Home,,Tnr Ceramic office home & Students Preinstalled, 
                        	Pay only P 5,460 a Month for 12 months or
P 10,341 a Month for 6 months on major credit cards.
						
"," ₱ 57,990

"
