ProductDescription,ProductSpecs,Prices
"
                                        Samsung Galaxy S22 (8GB + 256GB) Phantom Black                                    ","
6.1-inch Full HD+, Snapdragon 895, 256GB, 3700mAh 
","₱49,990"
"
                                        Samsung Galaxy S22 (8GB + 128GB) Green                                    ","
6.1-inch Full HD+, Snapdragon 895, 128GB, 3700mAh 
","₱45,990"
"
                                        Samsung Galaxy A53 5G (8GB + 128GB) Blue                                    ","
6.5-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱21,490"
"
                                        realme 9 Pro 5G (8GB + 128GB) Sunrise Blue                                    ","
6.6-inch Full HD, SD 695 5G, 128GB, 5000mAh 
","₱16,990"
"
                                        Samsung Galaxy S22+ (8GB + 128GB) Green                                    ","
6.6-inch Full HD+, Snapdragon 895, 128GB, 4500mAh 
","₱56,990"
"
                                        Samsung Galaxy S22 Ultra (12GB + 256GB) Burgundy                                    ","
6.8-inch Quad HD+, Snapdragon 895, 256GB, 5000mAh 
","₱72,990"
"
                                        Vivo V23E 5G Sunshine Coast                                    ","
6.44-inch Full HD+, MTK D810, 128GB, 4050mAh 
","₱17,999"
"
                                        Samsung Galaxy S21+ 5G 256GB Phantom Silver                                    ","
6.7-inch Full HD+, Exynos 2100, 256GB, 4800mAh 
","₱57,990"
"
                                        OPPO A5 2020 Mirror Black                                    ","
6.5-inch HD+, Snapdragon 665, 5000mAh 
","₱10,498"
"
                                        Apple iPhone SE (3rd Gen)                                    ","
256GB Midnight 
","₱36,990"
"
                                        Apple iPhone SE (3rd Gen)                                    ","
128GB Midnight 
","₱30,490"
"
                                        realme 9 Pro 5G (8GB + 128GB) Aurora Green                                    ","
6.6-inch Full HD, SD 695 5G, 128GB, 5000mAh 
","₱16,990"
"
                                        Vivo Y21T Pearl White                                    ","
6.51-inch HD+, SD 680, 128GB, 5000mAh 
","₱10,999"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 128GB) Graphite                                    ","
6.4-inch Full HD+, Exynos 2100, 128GB, 4500mAh 
","₱34,990"
"
                                        Vivo Y76 5G (8GB + 128GB) Cosmic Aura                                    ","
6.58-inch Full HD+, Dimensity 700 5G, 128GB, 4100mAh 
","₱14,999"
"
                                        Vivo Y76 5G (8GB + 128GB) Midnight Space                                    ","
6.58-inch Full HD+, Dimensity 700 5G, 128GB, 4100mAh 
","₱14,999"
"
                                        Apple iPhone 13 Pro Max                                    ","
                                        128GB Gold                                        
","₱68,990"
"
                                        Apple iPhone 13 (PRODUCT)RED                                    ","
                                        512GB Red                                        
","₱68,990"
"
                                        realme GT Master Edition (8GB + 128GB) Daybreak Blue                                    ","
6.43-inch Full HD+, SD 778G 5G, 128GB, 4300mAh 
","₱18,990"
"
                                        Vivo V21 5G Sunset Dazzle                                    ","
6.44-inch Full HD+, MTK 800U, 128GB, 4000mAh 
","₱19,999"
"
                                        Apple iPhone 12                                    ","
64GB Purple 
","₱39,990"
"
                                        OPPO A92 Shining White                                    ","
6.5-inch IPS LCD Full HD+, SDM 665, 8GB, 5000mAh 
","₱13,990"
"
                                        Huawei P50 Cocoa Gold                                    ","
6.5-inch FHD+, SD 888 4G, 256GB, 4100mAh 
","₱39,999"
"
                                        Huawei Mate Xs 2 White                                    ","
7.8-inches OLED, SD 888 4G, 512GB, 4600mAh 
","₱99,999"
"
                                        Apple iPhone 11                                    ","
64GB Purple 
","₱27,490"
"
                                        Apple iPhone 13 Pro                                    ","
                                        512GB Gold                                        
","₱82,490"
"
                                        Apple iPhone 13 Pro                                    ","
                                        512GB Graphite                                        
","₱82,490"
"
                                        Huawei P50 Pro Golden Black                                    ","
6.6-inch Full HD+, SD 888 4G, 256GB, 4360mAh 
","₱45,999"
"
                                        Samsung Galaxy A13 (4GB + 128GB) Awesome Peach                                    ","
6.6-inch Full HD+, Exynos 850, 128GB, 5000mAh 
","₱9,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        256GB Pink                                        
","₱51,990"
"
                                        realme C35 (4GB + 128GB) Glowing Black                                    ","
6.6-inch FHD, Unisoc T616, 128GB, 5000mAh 
","₱9,499"
"
                                        Samsung Galaxy S22 Ultra (12GB + 512GB) Phantom Black                                    ","
6.8-inch Quad HD+, Snapdragon 895, 512GB, 5000mAh 
","₱80,990"
"
                                        Apple iPhone 13 (PRODUCT)RED                                    ","
                                        256GB Red                                        
","₱54,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        256GB Midnight                                        
","₱51,990"
"
                                        Samsung Galaxy S22 (8GB + 128GB) Phantom Black                                    ","
6.1-inch Full HD+, Snapdragon 895, 128GB, 3700mAh 
","₱45,990"
"
                                        Samsung Galaxy S22 (8GB + 128GB) Pink Gold                                    ","
6.1-inch Full HD+, Snapdragon 895, 128GB, 3700mAh 
","₱45,990"
"
                                        Samsung Galaxy S22 Ultra (12GB + 512GB) Phantom White                                    ","
6.8-inch Quad HD+, Snapdragon 895, 512GB, 5000mAh 
","₱80,990"
"
                                        Samsung Galaxy A73 5G (8GB + 128GB) White                                    ","
6.7-inch Full HD+, SD 778G 5G, 128GB, 5000mAh 
","₱26,990"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 128GB) Olive                                    ","
6.4-inch Full HD+, Exynos 2100, 128GB, 4500mAh 
","₱34,990"
"
                                        OPPO Reno6 5G Stellar Black                                    ","
6.43-inch Full HD, Dimensity 900U, 128GB, 4300mAh 
","₱23,999"
"
                                        OPPO Reno5 4G Starry Black                                    ","
6.43-inch HD Screen, Snapdragon 720G, 128GB, 4210mAH 
","₱18,999"
"
                                        OPPO A96 Pearl Pink                                    ","
6.59-inch Full HD+, SD 680, 256GB, 5000mAh 
","₱15,999"
"
                                        Xiaomi Redmi 10C (4GB + 64GB) Graphite Gray                                    ","
6.71-inch HD+, SD 680, 64GB, 5000mAh 
","₱6,699"
"
                                        OPPO Reno7 Z 5G Rainbow Spectrum                                    ","
6.43-inch Full HD, SD 695, 128GB, 4500mAh 
","₱19,999"
"
                                        OPPO Reno7 5G Startrails Blue                                    ","
6.43-inch Full HD, Dimensity 900, 256GB, 4500mAh 
","₱23,999"
"
                                        Xiaomi Redmi Note 11 Pro 5G Polar White                                    ","
6.67-inch Full HD+, SD 695, 128GB, 5000mAh 
","₱17,499"
"
                                        Panasonic KX TG6811 CX5                                     ","
Digital Cordless Phone with 1 Handset 
","₱2,890"
"
                                        Panasonic KX TG6812CX5                                    ","
Cordless Telephone with Twin Handset 
","₱4,490"
"
                                        Panasonic KX TG2712CX5                                    ","
Cordless Telephone with Twin Handset 
","₱3,890"
"
                                        Panasonic KX TG2711CX5                                    ","
Cordless Telephone with Single Handset 
","₱2,390"
"
                                        Samsung Galaxy S22 Ultra (8GB + 128GB) Burgundy                                    ","
6.8-inch Quad HD+, Snapdragon 895, 128GB, 5000mAh 
","₱68,990"
"
                                        Apple iPhone 13 Pro Max                                    ","
                                        1TB Sierra Blue                                        
","₱102,990"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 256GB) Lavender                                    ","
6.4-inch Full HD+, Exynos 2100, 256GB, 4500mAh 
","₱37,990"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 256GB) Olive                                    ","
6.4-inch Full HD+, Exynos 2100, 256GB, 4500mAh 
","₱37,990"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 128GB) Lavender                                    ","
6.4-inch Full HD+, Exynos 2100, 128GB, 4500mAh 
","₱34,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        512GB Midnight                                        
","₱64,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        256GB Blue                                        
","₱51,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        128GB Midnight                                        
","₱45,990"
"
                                        Apple iPhone 13                                    ","
                                        512GB Blue                                        
","₱68,990"
"
                                        Vivo Y33s (8GB + 128GB) Midday Dream                                    ","
6.58-inch Full HD+, Helio G80, 128GB, 5000mAh 
","₱12,999"
"
                                        Huawei nova 7 Midsummer Purple                                    ","
6.53-inch OLED, Kirin 985, 256GB, 4000mAh 
","₱26,990"
"
                                        OPPO F11 Pro Green                                    ","
6.5-inch Full HD+, MTK P70, 4000 mAh 
","₱10,998"
"
                                        OPPO Reno 10x Zoom Ocean Green                                    ","
                                        6.6-inch, Qualcomm Snapdragon 855, 4065 mAh                                        
","₱35,998"
"
                                        Apple iPhone 13                                    ","
                                        512GB Midnight                                        
","₱68,990"
"
                                        Samsung Galaxy M52 5G (8GB + 128GB) Black                                    ","
6.7-inch Full HD+, SD 778G, 128GB, 5000mAh 
","₱22,990"
"
                                        Huawei Nova 8i Interstellar Blue                                    ","
6.67-inch HD, Snapdragon 662, 128GB, 4200mAh 
","₱13,999"
"
                                        Xiaomi Redmi 9A (2GB + 32GB) Sky Blue                                    ","
6.53-inch HD, MTK Helio G25, 32GB, 5000mAh 
","₱4,799"
"
                                        Apple iPhone 12 Pro                                    ","
256GB Graphite 
","₱67,980"
"
                                        OPPO F11 Fluorite Purple                                    ","
6.5-inch, Octa-core, 4000mAh 
","₱8,998"
"
                                        OPPO Reno 10x Zoom Jet Black                                    ","
                                        6.6-inch, Qualcomm Snapdragon 855, 4065 mAh                                        
","₱35,998"
"
                                        Huawei P50 Pro Cocoa Gold                                    ","
6.6-inch Full HD+, SD 888 4G, 256GB, 4360mAh 
","₱45,999"
"
                                        Huawei P50 Pocket White                                    ","
6.9-inch Full HD+, SD 888 4G, 256GB, 4000mAh 
","₱59,999"
"
                                        OPPO A55 (4GB + 64GB) Rainbow Blue                                    ","
6.51-inch HD, MTK Helio G35, 64GB, 5000mAh 
","₱9,999"
"
                                        Huawei Nova 8i Starry Black                                    ","
6.67-inch HD, Snapdragon 662, 128GB, 4200mAh 
","₱13,999"
"
                                        realme C21Y (4GB + 64GB) Cross Black                                    ","
6.5-inch HD+, MTK Helio G35, 64GB, 5000mAh 
","₱6,490"
"
                                        Samsung Galaxy S21 FE 5G (8GB + 256GB) White                                    ","
6.4-inch Full HD+, Exynos 2100, 256GB, 4500mAh 
","₱37,990"
"
                                        Apple iPhone 11 Pro                                    ","
64GB Space Gray 
","₱58,990"
"
                                        realme 5 Pro 4GB+128GB Crystal Green                                    ","
6.3-inch, Octa-Core, 4035mAh 
","₱11,498"
"
                                        OPPO Reno8 5G Shimmer Black                                    ","
6.4-inch FHD+, Dimensity 1300, 256GB, 4500mAh 
","₱27,999"
"
                                        Huawei nova 9 SE Pearl White                                    ","
6.78-inch Full HD+, SD 680, 128GB, 4000mAh 
","₱13,999"
"
                                        realme Narzo 50 5G (6GB + 128GB) Hyper Black                                    ","
6.6-inch FHD+, Dimensity 810 5G, 128GB, 5000mAh 
","₱12,999"
"
                                        realme Narzo 50A (4GB + 128GB) Dark Green                                    ","
6.5-inch HD+, Helio G85, 128GB, 6000mAh 
","₱7,499"
"
                                        realme Narzo 50 4G (6GB + 128GB) Speed Black                                    ","
6.6-inch Full HD+, Helio G96, 128GB, 5000mAh 
","₱8,999"
"
                                        realme C30 Denim Black                                    ","
6.5-inch HD+, Unisoc T612, 32GB, 5000mAh 
","₱4,999"
"
                                        Tecno Spark 8C (4GB + 128GB) Turquoise Cyan                                    ","
6.6-inch HD+, Unisoc T606, 128GB, 5000mAh 
","₱5,999"
"
                                        Tecno Spark 8C (4GB + 128GB) Iris Purple                                    ","
6.6-inch HD+, Unisoc T606, 128GB, 5000mAh 
","₱5,999"
"
                                        Tecno Pop 6 Lime Green                                    ","
6.1-inch HD+, MTK 6739 WA, 32GB, 5000mAh 
","₱3,999"
"
                                        Tecno Pop 6 Deep Sea                                    ","
6.1-inch HD+, MTK 6739 WA, 32GB, 5000mAh 
","₱3,999"
"
                                        Xiaomi Redmi 10A Sky Blue                                    ","
6.53-inch HD+, MTK Helio G25, 64GB, 5000mAh 
","₱5,699"
"
                                        Xiaomi Redmi 10A Graphite Gray                                    ","
6.53-inch HD+, MTK Helio G25, 64GB, 5000mAh 
","₱5,699"
"
                                        realme 9 4G Meteor Black                                    ","
6.4-inch FHD+, SD 680, 128GB, 5000mAh 
","₱13,999"
"
                                        Apple iPhone 13                                    ","
128GB Green 
","₱47,990"
"
                                        Samsung Galaxy A33 5G (8GB + 256GB) Awesome Peach                                    ","
6.4-inch Full HD+, Exynos 1280, 256GB, 5000mAh 
","₱19,990"
"
                                        Samsung Galaxy A53 5G (8GB + 128GB) White                                    ","
6.5-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱21,490"
"
                                        Xiaomi Redmi Note 11S Twilight Blue                                    ","
6.43-inch Full HD+, MTK G96, 128GB, 5000mAh 
","₱13,499"
"
                                        Vivo Y21T Midnight Blue                                    ","
6.51-inch HD+, SD 680, 128GB, 5000mAh 
","₱10,999"
"
                                        Xiaomi 11T (8GB + 256GB) Celestial Blue                                    ","
6.67-inch Full HD+, MTK D1200-Ultra, 256GB, 5000mAh 
","₱24,999"
"
                                        Apple iPhone 13                                    ","
                                        128GB Blue                                        
","₱47,990"
"
                                        Apple iPhone 13                                    ","
                                        128GB Pink                                        
","₱47,990"
"
                                        Apple iPhone 13                                    ","
                                        128GB Starlight                                        
","₱47,990"
"
                                        Samsung Galaxy A12 6GB + 128GB Black                                    ","
6.5-inch HD+, Octa-Core MediaTek 6765, 128GB, 5,000 mAh 
","₱9,990"
"
                                        OPPO A57 Glowing Green                                    ","
6.56-inch HD+, Helio G35, 128GB, 5000mAh 
","₱11,199"
"
                                        Xiaomi 12 Lite (8GB + 128GB) Black                                    ","
6.55-inch FHD+, SD 778 5G, 128GB, 4300mAh 
","₱21,999"
"
                                        realme Narzo 50 Pro 5G (8GB + 128GB) Hyper Black                                    ","
6.4-inch FHD+, Dimensity 920 5G, 128GB, 5000mAh 
","₱15,999"
"
                                        Samsung Galaxy Z Flip4 (8GB + 128GB) Pink Gold                                    ","
6.7-inch Full HD+, SD 8+ Gen 1, 128GB, 3700mAh 
","₱58,990"
"
                                        realme C30 Lake Blue                                    ","
6.5-inch HD+, Unisoc T612, 32GB, 5000mAh 
","₱4,999"
"
                                        Samsung Galaxy M33 5G Brown                                    ","
6.6-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱15,490"
"
                                        Samsung Galaxy M33 5G Green                                    ","
6.6-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱15,490"
"
                                        Samsung Galaxy M23 5G Orange Copper                                    ","
6.6-inch Full HD+, SD 750G, 128GB, 5000mAh 
","₱13,990"
"
                                        Samsung Galaxy M23 5G Deep Green                                    ","
6.6-inch Full HD+, SD 750G, 128GB, 5000mAh 
","₱13,990"
"
                                        Samsung Galaxy M23 5G Light Blue                                    ","
6.6-inch Full HD+, SD 750G, 128GB, 5000mAh 
","₱13,990"
"
                                        Vivo V21e Diamond Flare                                    ","
6.44-inch Full HD+, SD 720G, 128GB, 4000mAh 
","₱15,999"
"
                                        Vivo V20 Sunset Melody                                    ","
6.44-inch Full HD+, Qualcomm Snapdragon 720G, 128GB, 4000mAh 
","₱13,999"
"
                                        Vivo V20 Midnight Jazz                                    ","
6.44-inch Full HD+, Qualcomm Snapdragon 720G, 128GB, 4,000 mAh 
","₱13,999"
"
                                        Vivo X50 Frost Blue                                    ","
6.56-inch Full HD+, Snapdragon 730, 128GB, 4200mAh 
","₱17,999"
"
                                        Vivo X50 Glaze Black                                    ","
6.56-inch Full HD+, Snapdragon 730, 128GB, 4200mAh 
","₱17,999"
"
                                        Huawei nova Y70 Pearl White                                    ","
6.75-inch HD+, Kirin 710, 128GB, 6000mAh 
","₱8,499"
"
                                        realme 8 5G (8GB + 128GB) Supersonic Blue                                    ","
6.5-inch HD+, MTK Dimensity 700 5G, 128GB, 5000mAh 
","₱11,990"
"
                                        OPPO Reno6 Z 5G Aurora Green                                    ","
6.43-inch Full HD, Dimensity 800U, 128GB, 4310mAh 
","₱17,999"
"
                                        realme 8 5G (8GB + 128GB) Supersonic Black                                    ","
6.5-inch HD+, MTK Dimensity 700 5G, 128GB, 5000mAh 
","₱11,990"
"
                                        Samsung Galaxy A12 6GB + 128GB Blue                                    ","
6.5-inch HD+, Octa-Core MediaTek 6765, 128GB, 5,000 mAh 
","₱9,990"
"
                                        Tecno Pop 5 LTE Ice Blue                                    ","
6.52-inch HD+, Unisoc SC9863, 32GB, 5000mAh 
","₱4,199"
"
                                        Samsung Galaxy A33 5G (8GB + 128GB) Awesome Peach                                    ","
6.4-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱17,990"
"
                                        Samsung Galaxy A33 5G (8GB + 128GB) Awesome White                                    ","
6.4-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱17,990"
"
                                        Samsung Galaxy A53 5G (6GB + 128GB) Black                                    ","
6.5-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱20,490"
"
                                        Tecno Pop 5 LTE Deepsea Luster                                    ","
6.52-inch HD+, Unisoc SC9863, 32GB, 5000mAh 
","₱4,199"
"
                                        Samsung Galaxy A33 5G (8GB + 128GB) Awesome Blue                                    ","
6.4-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱17,990"
"
                                        Samsung Galaxy A33 5G (8GB + 128GB) Awesome Black                                    ","
6.4-inch Full HD+, Exynos 1280, 128GB, 5000mAh 
","₱17,990"
"
                                        realme C25Y (4GB + 64GB) Metal Grey                                    ","
6.5-inch HD+, Unisoc T618, 64GB, 5000mAh 
","₱6,999"
"
                                        realme C11 2021 (2GB + 32GB) Lake Blue                                    ","
6.5-inch HD+, MTK Helio G35, 32GB, 5000mAh 
","₱5,599"
"
                                        OPPO Reno6 Z 5G Stellar Black                                    ","
6.43-inch Full HD, Dimensity 800U, 128GB, 4310mAh 
","₱17,999"
"
                                        OPPO A15 Fancy White                                    ","
6.52-inch HD, MediaTek P35, 32GB, 4230mAh 
","₱6,499"
"
                                        Apple iPhone 12                                    ","
128GB Blue 
","₱42,490"
"
                                        Apple iPhone 12                                    ","
128GB Black 
","₱42,490"
"
                                        OPPO A57 Glowing Green                                    ","
6.56-inch HD, MTK Helio G35, 64GB, 5000mAh 
","₱9,299"
"
                                        OPPO A57 Glowing Black                                    ","
6.56-inch HD, MTK Helio G35, 64GB, 5000mAh 
","₱9,299"
"
                                        Apple iPhone 13 Pro                                    ","
128GB Alpine Green 
","₱61,990"
"
                                        realme 9 Pro+ 5G (8GB + 256GB) Aurora Green                                    ","
6.4-inch Full HD, Dimensity 920 5G, 256GB, 4500mAh 
","₱23,990"
"
                                        realme 9 Pro+ 5G (8GB + 256GB) Sunrise Blue                                    ","
6.4-inch Full HD, Dimensity 920 5G, 256GB, 4500mAh 
","₱23,990"
"
                                        Apple iPhone 13 mini                                    ","
                                        128GB Pink                                        
","₱45,990"
"
                                        Samsung A52s 5G (8GB + 128GB) Awesome White                                    ","
6.5-inch Full HD+, SD 778G 5G, 128GB, 4500mAh 
","₱19,990"
"
                                        Samsung Galaxy A52 (8GB + 128GB) Awesome White                                    ","
6.5-inch Full HD+, SD 720G 4G, 128GB, 4500mAh 
","₱15,490"
"
                                        Apple iPhone 12 (PRODUCT)RED                                    ","
128GB Red 
","₱42,490"
"
                                        Huawei P50 Golden Black                                    ","
6.5-inch FHD+, SD 888 4G, 256GB, 4100mAh 
","₱39,999"
"
                                        Huawei Mate Xs 2 Black                                    ","
7.8-inches OLED, SD 888 4G, 512GB, 4600mAh 
","₱99,999"
"
                                        realme 9 4G Sunburst Gold                                    ","
6.4-inch FHD+, SD 680, 128GB, 5000mAh 
","₱13,999"
"
                                        Apple iPhone 11                                    ","
128GB Purple 
","₱30,990"
"
                                        Samsung Galaxy A11 Black                                    ","
6.4-inch HD+, Octa-core, 32GB, 4000 mAh 
","₱4,990"
"
                                        Samsung Galaxy A11 Blue                                    ","
6.4-inch HD+, Octa-Core, 32GB, 4000mAh 
","₱4,990"
"
                                        Xiaomi Redmi Note 11 Pro 5G Graphite Gray                                    ","
6.67-inch Full HD+, SD 695, 128GB, 5000mAh 
","₱17,499"
"
                                        realme 9i Prism Blue                                    ","
6.6-inch FHD+, SD 680, 128GB, 5000mAh 
","₱11,990"
"
                                        Huawei P50 Pocket Premium Gold                                    ","
6.9-inch Full HD+, SD 888 4G, 512GB, 4000mAh 
","₱75,999"
"
                                        Apple iPhone SE (3rd Gen)                                    ","
256GB Starlight 
","₱36,990"
"
                                        Vivo Y73 Diamond Flare                                    ","
6.44-inch Full HD+, Helio G95, 128GB, 4000mAh 
","₱13,999"
"
                                        Vivo Y73 Roman Black                                    ","
6.44-inch Full HD+, Helio G95, 128GB, 4000mAh 
","₱13,999"
"
                                        Apple iPhone 13 Pro Max                                    ","
512GB Alpine Green 
","₱88,990"
"
                                        Apple iPhone 13 Pro Max                                    ","
                                        128GB Silver                                        
","₱68,990"
"
                                        Samsung Galaxy S22 (8GB + 256GB) Green                                    ","
6.1-inch Full HD+, Snapdragon 895, 256GB, 3700mAh 
","₱49,990"
"
                                        Samsung Galaxy S22 Ultra (8GB + 128GB) Phantom White                                    ","
6.8-inch Quad HD+, Snapdragon 895, 128GB, 5000mAh 
","₱68,990"
"
                                        Apple iPhone 13 mini                                    ","
256GB Green 
","₱51,990"
"
                                        OPPO A76 Glowing Blue                                    ","
6.56-inch HD+, SD 680, 128GB, 5000mAh 
","₱11,999"
"
                                        OPPO A76 Glowing Black                                    ","
6.56-inch HD+, SD 680, 128GB, 5000mAh 
","₱11,999"
"
                                        Vivo V23 5G Sunshine Gold                                    ","
6.44-inch Full HD+, MTK D920, 256GB, 4200mAh 
","₱27,999"
"
                                        Oppo A95 Glowing Starry Black                                    ","
6.43-inch Full HD+, Snapdragon 662, 128GB, 5000mAh 
","₱15,999"
